id,value
Candidates,0.0
Candidates.Trump,0.0
Candidates.Biden,0.0
Candidates.Trump.Positive,0.0
Candidates.Trump.Negative,0.0
Candidates.Biden.Negative,0.0
Candidates.Biden.Positive,0.0
Candidates.Trump.Positive.like,4773.0
Candidates.Trump.Positive.president,3607.0
Candidates.Trump.Positive.people,3041.0
Candidates.Trump.Positive.vote,2800.0
Candidates.Trump.Positive.good,2675.0
Candidates.Trump.Positive.say,2470.0
Candidates.Trump.Positive.want,2314.0
Candidates.Trump.Positive.make,2208.0
Candidates.Trump.Positive.would,2194.0
Candidates.Trump.Positive.think,2082.0
Candidates.Trump.Positive.know,2027.0
Candidates.Trump.Positive.go,1693.0
Candidates.Trump.Positive.supporter,1558.0
Candidates.Trump.Positive.take,1545.0
Candidates.Trump.Positive.american,1544.0
Candidates.Trump.Positive.support,1505.0
Candidates.Trump.Positive.help,1493.0
Candidates.Trump.Positive.america,1470.0
Candidates.Trump.Positive.need,1410.0
Candidates.Trump.Positive.great,1398.0
Candidates.Trump.Positive.time,1355.0
Candidates.Trump.Positive.love,1332.0
Candidates.Trump.Positive.election,1317.0
Candidates.Trump.Positive.care,1274.0
Candidates.Trump.Positive.state,1203.0
Candidates.Trump.Negative.people,3462.0
Candidates.Trump.Negative.president,3128.0
Candidates.Trump.Negative.vote,2931.0
Candidates.Trump.Negative.say,2804.0
Candidates.Trump.Negative.american,2288.0
Candidates.Trump.Negative.lie,2149.0
Candidates.Trump.Negative.think,2140.0
Candidates.Trump.Negative.make,2136.0
Candidates.Trump.Negative.know,2126.0
Candidates.Trump.Negative.covid,2124.0
Candidates.Trump.Negative.like,2038.0
Candidates.Trump.Negative.go,1977.0
Candidates.Trump.Negative.would,1851.0
Candidates.Trump.Negative.election,1850.0
Candidates.Trump.Negative.time,1707.0
Candidates.Trump.Negative.want,1595.0
Candidates.Trump.Negative.need,1535.0
Candidates.Trump.Negative.take,1535.0
Candidates.Trump.Negative.twitter,1466.0
Candidates.Trump.Negative.call,1443.0
Candidates.Trump.Negative.kill,1384.0
Candidates.Trump.Negative.stop,1366.0
Candidates.Trump.Negative.lose,1326.0
Candidates.Trump.Negative.campaign,1317.0
Candidates.Trump.Negative.right,1312.0
Candidates.Biden.Positive.harris,2092.0
Candidates.Biden.Positive.vote,1526.0
Candidates.Biden.Positive.like,1339.0
Candidates.Biden.Positive.kamala,1096.0
Candidates.Biden.Positive.good,947.0
Candidates.Biden.Positive.think,826.0
Candidates.Biden.Positive.would,810.0
Candidates.Biden.Positive.want,803.0
Candidates.Biden.Positive.people,787.0
Candidates.Biden.Positive.president,781.0
Candidates.Biden.Positive.know,763.0
Candidates.Biden.Positive.pick,751.0
Candidates.Biden.Positive.make,724.0
Candidates.Biden.Positive.say,623.0
Candidates.Biden.Positive.black,613.0
Candidates.Biden.Positive.support,582.0
Candidates.Biden.Positive.go,560.0
Candidates.Biden.Positive.party,533.0
Candidates.Biden.Positive.need,506.0
Candidates.Biden.Positive.time,428.0
Candidates.Biden.Positive.take,424.0
Candidates.Biden.Positive.win,415.0
Candidates.Biden.Positive.well,413.0
Candidates.Biden.Positive.year,413.0
Candidates.Biden.Positive.right,406.0
Candidates.Biden.Negative.harris,1409.0
Candidates.Biden.Negative.vote,1218.0
Candidates.Biden.Negative.racist,894.0
Candidates.Biden.Negative.kamala,856.0
Candidates.Biden.Negative.people,819.0
Candidates.Biden.Negative.say,797.0
Candidates.Biden.Negative.black,787.0
Candidates.Biden.Negative.think,700.0
Candidates.Biden.Negative.would,611.0
Candidates.Biden.Negative.know,564.0
Candidates.Biden.Negative.pick,561.0
Candidates.Biden.Negative.go,547.0
Candidates.Biden.Negative.president,528.0
Candidates.Biden.Negative.make,523.0
Candidates.Biden.Negative.democrat,479.0
Candidates.Biden.Negative.want,474.0
Candidates.Biden.Negative.like,467.0
Candidates.Biden.Negative.take,464.0
Candidates.Biden.Negative.obama,421.0
Candidates.Biden.Negative.lose,395.0
Candidates.Biden.Negative.american,394.0
Candidates.Biden.Negative.fuck,393.0
Candidates.Biden.Negative.call,380.0
Candidates.Biden.Negative.time,355.0
Candidates.Biden.Negative.need,343.0
